timestamp,x,y,z
2025-08-05 13:31:10.174403,-393.07,-431.21,-399.96
2025-08-05 13:31:10.398132,-312.68,-65.98,-417.42
2025-08-05 13:31:10.621908,-52.55,-37.29,237.73
2025-08-05 13:31:10.848291,6.77,93.75,-63.96
2025-08-05 13:31:11.072605,27.65,68.85,228.7
2025-08-05 13:31:11.302043,-27.22,-11.54,176.57
2025-08-05 13:31:11.523355,52.12,-14.16,148.19
2025-08-05 13:31:11.759196,99.24,-138.49,260.56
2025-08-05 13:31:11.986327,283.33,130.0,158.45
2025-08-05 13:31:12.229338,-71.11,-94.79,60.85
2025-08-05 13:31:12.451828,-593.63,-230.77,-240.72
2025-08-05 13:31:12.685050,-456.3,-152.53,-258.85
2025-08-05 13:31:12.911696,-143.86,-114.14,-13.12
2025-08-05 13:31:13.136188,16.54,34.12,-6.16
2025-08-05 13:31:13.358913,238.46,169.13,69.58
2025-08-05 13:31:13.583612,742.25,443.18,28.2
2025-08-05 13:31:13.816866,309.88,298.34,307.62
2025-08-05 13:31:14.044358,-322.45,-82.15,-111.39
2025-08-05 13:31:14.271543,-618.1,-295.1,-290.59
2025-08-05 13:31:14.493582,-384.34,-307.25,-160.22
2025-08-05 13:31:14.715762,-155.64,-117.07,-28.02
2025-08-05 13:31:14.934052,43.7,24.29,1.59
2025-08-05 13:31:15.156425,434.2,343.81,37.78
2025-08-05 13:31:15.386568,506.23,396.0,160.46
2025-08-05 13:31:15.613950,230.47,108.58,141.42
2025-08-05 13:31:15.834846,-287.72,-24.6,-66.47
2025-08-05 13:31:16.059960,-749.39,-248.47,-348.27
2025-08-05 13:31:16.282734,-390.56,-382.32,-234.62
2025-08-05 13:31:16.504990,-130.0,-110.05,-16.91
2025-08-05 13:31:16.829681,84.53,65.0,22.58
2025-08-05 13:31:17.136556,283.57,270.75,75.74
2025-08-05 13:31:17.751518,639.04,448.97,-2.56
2025-08-05 13:31:17.973167,60.49,71.53,228.64
2025-08-05 13:31:18.197881,-4.64,19.71,-12.27
2025-08-05 13:31:18.421519,-4.03,-0.98,-17.88
2025-08-05 13:31:18.635520,-7.26,9.95,0.43
2025-08-05 13:31:18.859728,-76.29,-9.7,-10.31
2025-08-05 13:31:19.069747,-129.58,-59.57,-46.75
2025-08-05 13:31:19.301759,-142.64,-71.78,-29.05
2025-08-05 13:31:19.516973,3.11,6.71,-3.97
2025-08-05 13:31:19.738610,-3.78,-10.62,-1.16
2025-08-05 13:31:19.965249,-56.7,-28.26,-9.28
2025-08-05 13:31:20.214886,-176.39,-54.44,-36.32
2025-08-05 13:31:20.441547,-175.96,-107.3,-46.94
2025-08-05 13:31:20.670752,-146.61,-100.1,-34.73
2025-08-05 13:31:20.897310,-116.27,-85.27,-44.68
2025-08-05 13:31:21.145005,-80.99,-48.65,-40.95
2025-08-05 13:31:21.368466,-0.55,-12.57,-7.45
2025-08-05 13:31:21.588325,409.85,300.66,-0.49
2025-08-05 13:31:21.808143,370.48,379.33,31.07
2025-08-05 13:31:22.037541,-71.72,-61.95,-7.39
2025-08-05 13:31:22.257299,-267.64,-62.56,31.13
2025-08-05 13:31:22.483972,-440.31,-200.68,-114.26
2025-08-05 13:31:22.705267,-246.03,-166.32,-25.39
2025-08-05 13:31:22.914100,-61.1,-50.11,-33.63
2025-08-05 13:31:23.140571,211.49,178.16,37.9
2025-08-05 13:31:23.364930,16.3,3.85,17.82
2025-08-05 13:31:23.573954,1.4,-21.24,-8.36
2025-08-05 13:31:23.792751,-7.63,-32.78,-12.57
2025-08-05 13:31:24.015478,4.33,0.85,0.61
2025-08-05 13:31:24.236352,-5.0,-18.49,-1.46
2025-08-05 13:31:24.462934,1.83,-9.34,-2.75
2025-08-05 13:31:24.692002,3.66,-5.92,-1.77
2025-08-05 13:31:24.922623,1.34,-8.48,-1.95
2025-08-05 13:31:25.226579,1.22,-6.96,-4.58
2025-08-05 13:31:25.534653,0.37,-6.59,-4.94
2025-08-05 13:31:25.755284,1.28,-6.53,-5.68
2025-08-05 13:31:25.975770,0.73,-6.84,-5.43
2025-08-05 13:31:26.206776,2.14,-5.31,-5.55
2025-08-05 13:31:26.430846,1.46,-6.35,-4.82
2025-08-05 13:31:26.659198,0.61,-8.24,-4.94
2025-08-05 13:31:26.883518,-2.44,-10.5,-6.84
2025-08-05 13:31:27.106294,1.46,-4.7,-3.66
2025-08-05 13:31:27.337271,3.17,-3.85,-3.42
2025-08-05 13:31:27.561775,3.85,-4.64,-5.31
2025-08-05 13:31:27.777364,1.4,-6.71,-5.68
2025-08-05 13:31:28.003271,3.05,-2.62,-3.91
2025-08-05 13:31:28.219802,3.23,-2.99,-3.11
2025-08-05 13:31:28.437675,3.05,-3.54,-3.72
2025-08-05 13:31:28.664204,1.83,-4.27,-4.64
2025-08-05 13:31:28.881613,1.46,-5.43,-4.33
2025-08-05 13:31:29.107652,1.89,-4.39,-4.27
2025-08-05 13:31:29.328503,2.08,-4.94,-4.33
2025-08-05 13:31:29.550902,2.87,-3.17,-3.85
2025-08-05 13:31:29.769974,0.49,-5.74,-4.76
2025-08-05 13:31:29.990591,1.53,-3.17,-3.72
2025-08-05 13:31:30.207529,1.59,-5.55,-5.25
2025-08-05 13:31:30.435035,3.48,-1.77,-4.09
2025-08-05 13:31:30.656500,0.73,-7.2,-4.03
2025-08-05 13:31:30.880744,2.56,-3.66,-2.93
2025-08-05 13:31:31.103514,1.1,-5.98,-4.88
2025-08-05 13:31:31.339024,-0.98,-7.57,-4.09
2025-08-05 13:31:31.566872,0.92,-5.25,-4.7
2025-08-05 13:31:31.789922,1.89,-4.27,-2.93
2025-08-05 13:31:32.036347,1.16,-5.25,-4.46
2025-08-05 13:31:32.261313,1.34,-5.86,-5.43
2025-08-05 13:31:32.483812,-2.32,-9.09,-5.07
2025-08-05 13:31:32.707864,1.04,-4.33,-1.71
2025-08-05 13:31:32.939363,3.78,-3.23,-5.13
2025-08-05 13:31:33.161014,2.87,-2.81,-5.0
2025-08-05 13:31:33.380666,0.55,-6.04,-4.58
2025-08-05 13:31:33.597737,0.55,-5.49,-4.46
2025-08-05 13:31:33.827641,2.32,-3.6,-4.03
2025-08-05 13:31:34.059639,1.89,-3.23,-3.3
2025-08-05 13:31:34.269702,0.79,-5.8,-4.58
2025-08-05 13:31:34.491428,1.04,-5.07,-4.94
2025-08-05 13:31:34.713269,1.28,-4.94,-4.88
2025-08-05 13:31:34.932599,1.28,-3.78,-3.36
2025-08-05 13:31:35.222765,0.12,-7.39,-6.1
2025-08-05 13:31:35.440834,3.05,-3.72,-3.85
2025-08-05 13:31:35.651279,2.01,-4.46,-3.48
2025-08-05 13:31:35.875792,-0.18,-6.53,-4.27
2025-08-05 13:31:36.102074,-4.09,-10.68,-4.88
2025-08-05 13:31:36.332160,1.89,-3.97,-4.15
2025-08-05 13:31:36.551892,1.71,-5.07,-3.78
2025-08-05 13:31:36.779217,1.28,-3.36,-3.17
2025-08-05 13:31:36.994620,5.86,5.25,1.83
2025-08-05 13:31:37.213803,56.88,74.04,20.02
2025-08-05 13:31:37.436823,55.73,26.55,5.37
2025-08-05 13:31:37.651351,37.54,28.63,36.25
2025-08-05 13:31:37.869630,9.52,-6.71,0.49
2025-08-05 13:31:38.095647,-81.73,-86.61,-26.49
2025-08-05 13:31:38.360987,-40.53,-38.82,-20.14
2025-08-05 13:31:38.581837,-14.28,87.83,81.05
2025-08-05 13:31:38.806299,47.3,35.64,-91.67
2025-08-05 13:31:39.028148,-66.35,-254.15,34.06
2025-08-05 13:31:39.252695,155.15,0.98,-18.86
2025-08-05 13:31:39.474986,175.78,82.28,-9.64
2025-08-05 13:31:39.708298,-43.09,80.57,-76.48
2025-08-05 13:31:39.930051,171.45,86.55,97.29
2025-08-05 13:31:40.151252,155.46,15.14,102.97
2025-08-05 13:31:40.373223,53.47,67.81,127.87
2025-08-05 13:31:40.688201,-41.87,-24.96,26.67
2025-08-05 13:31:40.902022,-75.5,-114.56,6.23
2025-08-05 13:31:41.131273,-126.83,-110.6,7.75
2025-08-05 13:31:41.352315,-253.97,-160.95,51.82
2025-08-05 13:31:41.570785,100.52,205.32,-257.57
2025-08-05 13:31:41.798670,170.78,265.32,-278.93
2025-08-05 13:31:42.035469,-104.55,-77.45,351.62
2025-08-05 13:31:42.255899,75.13,25.39,172.0
2025-08-05 13:31:42.482801,164.98,139.4,4.64
2025-08-05 13:31:42.698019,40.71,40.65,-32.96
2025-08-05 13:31:42.921764,55.6,-36.99,6.71
2025-08-05 13:31:43.156288,21.97,-71.04,-58.41
2025-08-05 13:31:43.369352,-81.12,-73.12,-216.92
2025-08-05 13:31:43.587798,26.31,-67.69,238.71
2025-08-05 13:31:43.814543,-499.33,-78.67,-61.34
2025-08-05 13:31:44.038228,157.59,42.42,31.56
2025-08-05 13:31:44.263892,20.26,31.01,-14.53
2025-08-05 13:31:44.519265,28.32,67.38,-20.08
2025-08-05 13:31:44.731500,-41.56,17.03,-20.32
2025-08-05 13:31:44.944225,259.83,1.04,17.58
2025-08-05 13:31:45.158426,77.09,35.52,-59.33
2025-08-05 13:31:45.384843,81.91,180.66,-120.73
2025-08-05 13:31:45.610232,72.94,225.89,-147.58
2025-08-05 13:31:45.829195,-28.99,-126.46,90.09
2025-08-05 13:31:46.117083,-6.47,-22.71,8.12
2025-08-05 13:31:46.336328,21.73,72.27,-35.77
2025-08-05 13:31:46.559332,3.36,-38.45,-13.37
2025-08-05 13:31:46.780079,10.62,-5.86,-13.0
2025-08-05 13:31:47.002978,5.31,3.42,-7.51
2025-08-05 13:31:47.224083,-2.99,-51.03,-54.38
2025-08-05 13:31:47.446609,13.06,10.07,17.4
2025-08-05 13:31:47.666297,5.92,13.12,-3.85
2025-08-05 13:31:47.890195,-1.89,-17.7,-12.45
2025-08-05 13:31:48.114892,-1.95,-3.6,-4.27
2025-08-05 13:31:48.335505,-3.97,-14.34,-4.03
2025-08-05 13:31:48.543253,-4.64,-11.66,19.84
2025-08-05 13:31:48.759868,15.63,-2.32,-44.92
2025-08-05 13:31:48.982538,-3.36,-0.43,7.26
2025-08-05 13:31:49.204747,-27.71,-28.08,22.58
2025-08-05 13:31:49.424297,-75.99,34.18,104.74
2025-08-05 13:31:49.650672,65.55,-177.12,-221.44
2025-08-05 13:31:49.867740,23.99,13.85,2.81
2025-08-05 13:31:50.101043,80.26,54.5,89.78
2025-08-05 13:31:50.322330,-31.43,-88.68,22.83
2025-08-05 13:31:50.547598,-16.24,-80.14,85.33
2025-08-05 13:31:50.774460,-58.47,-47.49,103.58
2025-08-05 13:31:51.002648,-33.94,-42.66,0.37
2025-08-05 13:31:51.223095,48.95,-50.29,86.91
2025-08-05 13:31:51.441234,53.77,-4.46,9.22
2025-08-05 13:31:51.657183,51.7,144.35,-18.25
2025-08-05 13:31:51.880333,1.1,5.07,-2.38
2025-08-05 13:31:52.116497,15.75,12.02,10.01
2025-08-05 13:31:52.332980,26.06,-12.21,13.06
2025-08-05 13:31:52.565552,-9.4,-28.38,1.34
2025-08-05 13:31:52.792959,68.48,-28.87,29.24
2025-08-05 13:31:53.018508,-34.67,-38.33,0.79
2025-08-05 13:31:53.237844,-67.08,-13.79,-31.01
2025-08-05 13:31:53.457573,4.94,8.18,2.01
2025-08-05 13:31:53.796799,55.66,21.36,-3.42
2025-08-05 13:31:54.024277,-63.29,-8.61,-6.84
2025-08-05 13:31:54.234009,-18.92,-18.25,29.54
2025-08-05 13:31:54.463848,-35.83,-39.12,25.82
2025-08-05 13:31:54.679048,0.67,-35.16,29.42
2025-08-05 13:31:54.895069,13.12,-30.33,-6.41
2025-08-05 13:31:55.119505,68.42,0.98,-28.2
2025-08-05 13:31:55.342335,-59.2,-24.05,-37.41
2025-08-05 13:31:55.564136,-47.55,37.66,-8.42
2025-08-05 13:31:55.794033,-24.6,-10.68,22.52
2025-08-05 13:31:56.014686,-14.1,-20.63,10.56
2025-08-05 13:31:56.238817,8.12,4.64,0.06
2025-08-05 13:31:56.459997,12.33,4.58,8.79
2025-08-05 13:31:56.707391,23.38,10.56,5.86
2025-08-05 13:31:56.933252,15.63,-6.04,7.39
2025-08-05 13:31:57.157146,5.19,-6.53,3.97
2025-08-05 13:31:57.381378,23.99,-0.43,1.16
2025-08-05 13:31:57.600119,23.32,0.67,1.89
2025-08-05 13:31:57.826637,28.5,2.56,4.64
2025-08-05 13:31:58.040186,14.95,1.59,1.1
2025-08-05 13:31:58.260011,4.46,-1.04,-5.0
2025-08-05 13:31:58.475449,5.0,0.12,-11.29
2025-08-05 13:31:58.701782,-0.06,-4.39,3.54
2025-08-05 13:31:58.913415,6.59,-1.04,-2.99
2025-08-05 13:31:59.131500,4.21,-2.38,2.62
2025-08-05 13:31:59.354439,3.72,-1.16,-2.14
2025-08-05 13:31:59.573973,2.69,-6.16,-2.32
2025-08-05 13:31:59.795919,2.01,-5.55,-2.32
2025-08-05 13:32:00.018040,1.04,-8.54,1.28
2025-08-05 13:32:00.242562,3.3,-7.08,-7.08
2025-08-05 13:32:00.461474,2.56,-1.95,-6.53
2025-08-05 13:32:00.688961,12.27,-11.66,3.23
2025-08-05 13:32:00.916699,3.36,-8.61,-3.3
2025-08-05 13:32:01.474813,3.91,-4.21,-2.38
2025-08-05 13:32:01.782949,3.85,-5.74,-3.48
2025-08-05 13:32:02.008553,-8.18,-1.16,3.23
2025-08-05 13:32:02.236957,4.27,-7.2,-3.6
2025-08-05 13:32:02.450743,-1.04,-6.23,-4.94
2025-08-05 13:32:02.676640,4.46,-8.06,8.12
2025-08-05 13:32:02.897069,13.37,-38.15,-47.67
