timestamp,temperature,humidity
2025-07-31 13:41:01,24.30,43.00
2025-07-31 13:41:03,24.30,43.00
2025-07-31 13:41:05,24.30,43.10
2025-07-31 13:41:07,24.30,43.30
2025-07-31 13:41:09,24.30,43.30
2025-07-31 13:41:16,24.40,43.30
2025-07-31 13:41:18,24.30,46.40
2025-07-31 13:41:20,24.30,46.30
2025-07-31 13:41:22,24.30,46.10
2025-07-31 13:41:24,24.30,46.30
2025-07-31 13:41:26,24.30,46.30
2025-07-31 13:41:28,24.30,46.00
2025-07-31 13:41:30,24.30,45.60
2025-07-31 13:41:32,24.30,45.10
2025-07-31 13:41:34,24.30,44.70
2025-07-31 13:41:36,24.30,44.40
2025-07-31 13:41:38,24.30,44.20
2025-07-31 13:41:40,24.30,44.10
2025-07-31 13:41:42,24.30,43.80
2025-07-31 13:41:44,24.40,43.70
2025-07-31 13:41:46,24.30,43.70
2025-07-31 13:41:48,24.30,44.10
2025-07-31 13:41:51,24.30,45.10
2025-07-31 13:41:57,24.30,45.90
2025-07-31 13:42:11,24.30,43.40
2025-07-31 13:42:13,24.30,43.80
2025-07-31 13:42:15,24.30,44.40
2025-07-31 13:42:17,24.30,44.80
2025-07-31 13:42:20,24.30,44.80
2025-07-31 13:42:22,24.30,44.40
2025-07-31 13:42:24,24.40,44.20
2025-07-31 13:42:26,24.30,43.90
2025-07-31 13:42:28,24.30,43.60
2025-07-31 13:42:30,24.30,43.60
2025-07-31 13:42:32,24.30,44.20
2025-07-31 13:42:39,24.30,44.40
2025-07-31 13:42:41,24.30,45.30
2025-07-31 13:42:43,24.30,45.80
2025-07-31 13:42:45,24.30,45.90
2025-07-31 13:42:47,24.30,45.70
2025-07-31 13:42:49,24.30,45.10
2025-07-31 13:42:51,24.30,44.70
2025-07-31 13:42:53,24.30,45.00
2025-07-31 13:42:55,24.30,45.00
2025-07-31 13:42:57,24.30,45.10
2025-07-31 13:42:59,24.30,45.60
2025-07-31 13:43:01,24.30,45.90
2025-07-31 13:43:03,24.30,46.10
2025-07-31 13:43:05,24.30,46.20
2025-07-31 13:43:07,24.30,46.20
2025-07-31 13:43:09,24.40,45.90
2025-07-31 13:43:11,24.30,45.50
2025-07-31 13:43:14,24.30,46.50
2025-07-31 13:43:20,24.30,46.90
2025-07-31 13:43:22,24.30,45.50
2025-07-31 13:43:24,24.40,45.00
