Timestamp, X, Y, Z
2025-07-17 20:42:46, -0.252, 0.800, -0.515
2025-07-17 20:42:47, -0.146, 0.826, -0.484
2025-07-17 20:42:48, -0.112, 0.838, -0.375
2025-07-17 20:42:49, -0.354, 1.017, -0.468
2025-07-17 20:42:50, -0.326, 0.760, -0.390
2025-07-17 20:42:51, -0.253, 0.819, -0.341
2025-07-17 20:42:52, -0.393, 1.095, -0.509
2025-07-17 20:42:53, -0.308, 0.921, -0.603
2025-07-17 20:42:54, -0.179, 0.626, -0.524
2025-07-17 20:42:55, -0.176, 0.643, -0.445
2025-07-17 20:42:56, -0.151, 0.861, -0.409
2025-07-17 20:42:57, -0.288, 1.003, -0.645
2025-07-17 20:42:58, -0.310, 0.812, -0.561
2025-07-17 20:42:59, -0.172, 0.619, -0.449
2025-07-17 20:43:00, -0.208, 0.767, -0.460
2025-07-17 20:43:01, -0.173, 0.837, -0.410
2025-07-17 20:43:02, -0.320, 0.921, -0.713
2025-07-17 20:43:03, -0.207, 0.739, -0.668
2025-07-17 20:43:04, -0.217, 0.602, -0.537
2025-07-17 20:43:05, -0.246, 0.828, -0.523
2025-07-17 20:43:06, -0.305, 0.808, -0.519
2025-07-17 20:43:07, -0.238, 0.964, -0.709
2025-07-17 20:43:08, -0.246, 0.629, -0.614
2025-07-17 20:43:09, -0.353, 0.786, -0.536
2025-07-17 20:43:10, -0.214, 0.799, -0.564
2025-07-17 20:43:11, -0.209, 0.818, -0.619
2025-07-17 20:43:12, -0.197, 0.766, -0.582
2025-07-17 20:43:13, -0.142, 0.760, -0.599
2025-07-17 20:43:14, -0.258, 0.936, -0.655
2025-07-17 20:43:15, -0.272, 0.648, -0.432
2025-07-17 20:43:16, -0.297, 0.769, -0.428
2025-07-17 20:43:17, -0.271, 0.930, -0.877
2025-07-17 20:43:18, -0.154, 0.664, -0.685
2025-07-17 20:43:19, -0.166, 0.814, -0.525
2025-07-17 20:43:20, -0.273, 0.820, -0.740
2025-07-17 20:43:21, -0.208, 0.555, -0.564
2025-07-17 20:43:22, -0.197, 0.771, -0.535
2025-07-17 20:43:23, -0.346, 0.907, -1.008
2025-07-17 20:43:24, -0.163, 0.593, -0.654
2025-07-17 20:43:25, -0.138, 0.692, -0.528
2025-07-17 20:43:26, -0.142, 0.847, -0.685
2025-07-17 20:43:27, -0.050, 0.692, -0.432
2025-07-17 20:43:28, -0.221, 0.915, -0.778
2025-07-17 20:43:29, -0.107, 0.630, -0.617
2025-07-17 20:43:30, -0.255, 0.736, -0.803
2025-07-17 20:43:31, -0.205, 0.575, -0.451
2025-07-17 20:43:32, -0.179, 0.910, -0.540
2025-07-17 20:43:33, -0.088, 0.880, -0.986
2025-07-17 20:43:34, -0.073, 0.588, -0.547
2025-07-17 20:43:35, -0.104, 0.936, -0.744
2025-07-17 20:43:36, -0.064, 0.440, -0.576
2025-07-17 20:43:37, -0.167, 0.819, -0.583
2025-07-17 20:43:38, -0.109, 0.700, -0.822
2025-07-17 20:43:39, -0.079, 0.743, -0.572
2025-07-17 20:43:40, -0.268, 0.731, -0.697
2025-07-17 20:43:41, -0.227, 0.729, -0.598
2025-07-17 20:43:42, -0.146, 0.625, -0.688
2025-07-17 20:43:43, -0.203, 0.766, -0.830
2025-07-17 20:43:44, -0.193, 0.728, -0.631
2025-07-17 20:43:45, -0.135, 0.582, -0.793
2025-07-17 20:43:46, -0.106, 0.647, -0.620
2025-07-17 20:43:47, -0.158, 0.850, -0.802
